replicate_id,treatment,bits,operation,time,iterations,compile_time_optimizations
24,bit_vector,16,AND,1.39206e+08,1000000,1
24,bit_vector,16,OR,1.11022e+08,1000000,1
24,bit_vector,16,NAND,8.458e+07,1000000,1
24,bit_vector,16,NOR,8.2114e+07,1000000,1
24,bit_vector,16,XOR,8.2714e+07,1000000,1
24,bit_vector,16,EQU,8.2028e+07,1000000,1
24,bit_vector,16,R_SHIFT_0.25l,8.2403e+07,1000000,1
24,bit_vector,16,R_SHIFT_0.5l,8.3277e+07,1000000,1
24,bit_vector,16,R_SHIFT_1l,8.402e+07,1000000,1
24,bit_vector,16,L_SHIFT_0.25l,9.7915e+07,1000000,1
24,bit_vector,16,L_SHIFT_0.5l,8.8014e+07,1000000,1
24,bit_vector,16,L_SHIFT_1l,1.03124e+08,1000000,1
25,bit_vector,16,CountOnes_Mixed,1.1214e+07,1000000,1
25,bit_vector,16,NOT,8.5908e+07,1000000,1
25,bit_vector,16,AND,8.3238e+07,1000000,1
25,bit_vector,16,OR,1.18488e+08,1000000,1
25,bit_vector,16,NAND,1.29608e+08,1000000,1
25,bit_vector,16,NOR,1.01121e+08,1000000,1
25,bit_vector,16,XOR,1.36264e+08,1000000,1
25,bit_vector,16,EQU,1.26707e+08,1000000,1
25,bit_vector,16,R_SHIFT_0.25l,8.4621e+07,1000000,1
25,bit_vector,16,R_SHIFT_0.5l,8.6079e+07,1000000,1
25,bit_vector,16,R_SHIFT_1l,8.6259e+07,1000000,1
25,bit_vector,16,L_SHIFT_0.25l,8.5202e+07,1000000,1
25,bit_vector,16,L_SHIFT_0.5l,1.04665e+08,1000000,1
25,bit_vector,16,L_SHIFT_1l,1.35052e+08,1000000,1
26,bit_vector,16,CountOnes_Mixed,1.2831e+07,1000000,1
26,bit_vector,16,NOT,8.4168e+07,1000000,1
26,bit_vector,16,AND,8.415e+07,1000000,1
26,bit_vector,16,OR,8.0457e+07,1000000,1
26,bit_vector,16,NAND,9.0103e+07,1000000,1
26,bit_vector,16,NOR,9.0392e+07,1000000,1
26,bit_vector,16,XOR,1.27828e+08,1000000,1
26,bit_vector,16,EQU,8.343e+07,1000000,1
26,bit_vector,16,R_SHIFT_0.25l,8.7102e+07,1000000,1
26,bit_vector,16,R_SHIFT_0.5l,9.7043e+07,1000000,1
26,bit_vector,16,R_SHIFT_1l,1.10176e+08,1000000,1
26,bit_vector,16,L_SHIFT_0.25l,1.11326e+08,1000000,1
26,bit_vector,16,L_SHIFT_0.5l,1.08565e+08,1000000,1
26,bit_vector,16,L_SHIFT_1l,1.22453e+08,1000000,1
27,bit_vector,16,CountOnes_Mixed,7.255e+06,1000000,1
27,bit_vector,16,NOT,7.6324e+07,1000000,1
27,bit_vector,16,AND,7.6798e+07,1000000,1
27,bit_vector,16,OR,7.7631e+07,1000000,1
27,bit_vector,16,NAND,7.5307e+07,1000000,1
27,bit_vector,16,NOR,7.6067e+07,1000000,1
27,bit_vector,16,XOR,7.4861e+07,1000000,1
27,bit_vector,16,EQU,7.6606e+07,1000000,1
27,bit_vector,16,R_SHIFT_0.25l,7.4977e+07,1000000,1
27,bit_vector,16,R_SHIFT_0.5l,7.6364e+07,1000000,1
27,bit_vector,16,R_SHIFT_1l,7.3071e+07,1000000,1
27,bit_vector,16,L_SHIFT_0.25l,7.386e+07,1000000,1
27,bit_vector,16,L_SHIFT_0.5l,7.3699e+07,1000000,1
27,bit_vector,16,L_SHIFT_1l,7.7916e+07,1000000,1
28,bit_vector,16,CountOnes_Mixed,6.444e+06,1000000,1
28,bit_vector,16,NOT,7.4145e+07,1000000,1
28,bit_vector,16,AND,7.5151e+07,1000000,1
28,bit_vector,16,OR,7.343e+07,1000000,1
28,bit_vector,16,NAND,7.5609e+07,1000000,1
28,bit_vector,16,NOR,7.417e+07,1000000,1
28,bit_vector,16,XOR,7.3283e+07,1000000,1
28,bit_vector,16,EQU,7.996e+07,1000000,1
28,bit_vector,16,R_SHIFT_0.25l,7.3225e+07,1000000,1
28,bit_vector,16,R_SHIFT_0.5l,7.1161e+07,1000000,1
28,bit_vector,16,R_SHIFT_1l,7.2214e+07,1000000,1
28,bit_vector,16,L_SHIFT_0.25l,7.6903e+07,1000000,1
28,bit_vector,16,L_SHIFT_0.5l,7.7749e+07,1000000,1
28,bit_vector,16,L_SHIFT_1l,7.635e+07,1000000,1
29,bit_vector,16,CountOnes_Mixed,4.723e+06,1000000,1
29,bit_vector,16,NOT,7.291e+07,1000000,1
29,bit_vector,16,AND,7.3398e+07,1000000,1
29,bit_vector,16,OR,7.4929e+07,1000000,1
29,bit_vector,16,NAND,7.7641e+07,1000000,1
29,bit_vector,16,NOR,8.3358e+07,1000000,1
29,bit_vector,16,XOR,8.3437e+07,1000000,1
29,bit_vector,16,EQU,8.8148e+07,1000000,1
29,bit_vector,16,R_SHIFT_0.25l,7.861e+07,1000000,1
29,bit_vector,16,R_SHIFT_0.5l,7.2909e+07,1000000,1
29,bit_vector,16,R_SHIFT_1l,8.0934e+07,1000000,1
29,bit_vector,16,L_SHIFT_0.25l,7.2667e+07,1000000,1
29,bit_vector,16,L_SHIFT_0.5l,7.7126e+07,1000000,1
29,bit_vector,16,L_SHIFT_1l,8.0079e+07,1000000,1
30,bit_vector,16,CountOnes_Mixed,7.952e+06,1000000,1
30,bit_vector,16,NOT,7.4272e+07,1000000,1
30,bit_vector,16,AND,7.2693e+07,1000000,1
30,bit_vector,16,OR,7.2289e+07,1000000,1
30,bit_vector,16,NAND,7.4839e+07,1000000,1
30,bit_vector,16,NOR,8.0108e+07,1000000,1
30,bit_vector,16,XOR,7.7845e+07,1000000,1
30,bit_vector,16,EQU,8.0967e+07,1000000,1
30,bit_vector,16,R_SHIFT_0.25l,7.8889e+07,1000000,1
30,bit_vector,16,R_SHIFT_0.5l,7.8594e+07,1000000,1
30,bit_vector,16,R_SHIFT_1l,8.1507e+07,1000000,1
30,bit_vector,16,L_SHIFT_0.25l,8.3875e+07,1000000,1
30,bit_vector,16,L_SHIFT_0.5l,8.4896e+07,1000000,1
30,bit_vector,16,L_SHIFT_1l,8.4918e+07,1000000,1
